任务ID,阶段,模块,任务名称,详细说明,依赖任务,规模,预估人日,优先级,交付物/验收标准,状态
"P0-00","Phase 0","基建","vitest 最小测试基建","项目当前无正式测试体系，为校验器/合并器等纯逻辑模块引入 vitest 最小配置（不做 UI 测试）；package.json test script、CI 接入","","S","0.5","高","pnpm test 可运行示例用例；CI 执行测试","已完成"
"P0-01","Phase 0","Schema","SitePack v1 类型定义","新建 src/adapters/declarative/types.ts：SitePackManifest/SitePackSelectors/conversation/generating/session 等全字段 TS 类型与注释；最大化复用 base.ts 现有 Config 接口形状；matches 允许空数组（通用包，必须配 detect，§6.9.1）；同时定案运行时校验技术选型（手写轻量校验 vs effect/Schema，评估 bundle 影响）","","M","2","高","类型文件合入且通过 typecheck；校验选型结论记录在方案文档","已完成"
"P0-02","Phase 0","Schema","运行时校验器","src/adapters/declarative/validate.ts：白名单键（未知键拒绝）、类型与长度/数量上限、matches 规则（https/禁通配/≤10/空数组须配 detect）、正则编译与长度≤200、CSS 黑名单（归一化含转义解码后匹配 url(/@import/expression(/javascript:）、capabilities 与字段齐备性校验；patch 的 config 局部字段复用同一校验器（不允许旁路）；输出结构化错误信息","P0-00,P0-01","M","2","高","单元测试覆盖全部非法样例（§8.2 每条规则至少 1 正 1 反用例，含 CSS 转义绕过样例）","已完成"
"P0-03","Phase 1","Schema","JSON Schema 文件（自 Phase 0 后移）","registry/schema/site-pack.schema.json 与 TS 类型同步维护，供 CI 校验与编辑器智能提示；README 注明两者同步要求；随 P1-11 registry 开放一并交付","P0-01","S","1","中","schema 文件可被编辑器识别；示例包通过校验","已完成"
"P0-04","Phase 0","Config","三层配置合并器","src/adapters/declarative/merge.ts：内置默认值←远端 patch←用户本地覆盖；规则：对象深合并、数组整体替换、null 删除键；patch 结构 {targetSiteId,patchSchemaVersion,patchVersion,baseConfigVersion,minAppVersion,maxAppVersion?,config}（§6.4）：baseConfigVersion 必须等于内置 configVersion 才应用（内置修复 bump 后旧 patch 自动失效）；两级校验（patch 局部合法+合并结果完整合法）；config 支持 sitePrivateSelectors（逐站点白名单键）；配套 applyMergedConfig 注入约定（构造用内置默认，initAdapterRegistry 后注入，方法体只读 this.config）","P0-00,P0-01","M","2.5","高","合并语义单测锁定（嵌套对象/数组替换/null 删除/baseConfigVersion 门槛/maxAppVersion 淘汰/合并结果非法拒绝用例）","已完成"
"P0-05","Phase 0","Core","RemoteConfigManager","src/core/remote-config-manager.ts：独立 registry transport（不复用 platform.fetch/PROXY_FETCH——其转 Data URL 且带凭据，不能用于 JSON）：扩展端 background 原生 fetch（credentials:omit）+messaging.ts 常量、userscript GM_xmlhttpRequest；manifest permissions 增 alarms（当前缺失，无权限警告）；双源拉取（jsDelivr→raw）+registryRevision 单调校验（防 CDN 陈旧缓存）→diff→按需拉包（不可变路径）→sha256→两级校验→原子写 active 快照，失败保留 last-known-good；(siteId,patchVersion) 本地忽略标记；chrome.alarms 24h+userscript 节流；手动立即检查；时间字段一律 Unix 毫秒时间戳","P0-02,P0-04","L","4.5","高","模拟源不可用/哈希不匹配/revision 回退/disabled 止损/坏包不覆盖 last-known-good/忽略标记防重拉场景均正确处理；扩展与油猴两形态联调通过","进行中"
"P0-06","Phase 0","Registry","主仓 registry 目录与 dist 构建","registry/sites、registry/patches 源文件；scripts/validate.mjs 直接 import validate.ts 同一纯模块（tsx 执行，不重写规则，单一真值源）；scripts/build-dist.mjs 生成不可变版本路径（packs/<id>/<version>.json）+index.json（registryRevision 单调递增、sha256、minAppVersion/baseConfigVersion 摘要、disabled 字段、generatedAt 用毫秒时间戳）；GH Actions：push main 触发校验+构建+强推 registry-dist 分支","P0-02","M","2","高","push 后 registry-dist 分支自动更新；jsDelivr 可访问 index.json；validate.mjs 与 validate.ts 无重复规则实现","进行中"
"P0-07","Phase 0","CI","registry PR 校验 workflow","PR 触发：schema 校验、id 唯一且不与内置 SITE_IDS 冲突、matches 不与内置/已有包重叠、正则安全检查、CSS 黑名单；校验失败时在 PR 上输出可读错误注释","P0-06","S","1","高","构造非法 PR 样例全部被拦截并给出定位到字段的错误","已完成"
"P0-08","Phase 0","试点迁移","zai 适配器配置化","zai.ts 的选择器与纯配置抽为文件内 config 常量（公共 schema 字段+sitePrivateSelectors 私有白名单：思维链/附件卡片/导出容器/主题切换等易变 selector，§6.4）+单调 configVersion 常量；构造用内置默认值，P0-13 门闩注入合并结果，方法体改读 this.config 且构造函数不缓存派生值；命令式逻辑不动；配置化 PR 中显式列出热修覆盖矩阵（哪些可热修/哪些仍需发版）","P0-04","M","2.5","高","zai 全功能手工回归清单通过，行为零变化；diff 仅限配置抽取；热修覆盖矩阵文档化","进行中"
"P0-09","Phase 1","试点迁移","ima 适配器配置化（自 Phase 0 后移）","同 P0-08，Phase 1 初执行，作为第二个试点验证抽取模式的通用性，沉淀迁移操作手册（供 Phase 3 批量迁移复用）","P0-04,P0-08","M","1.5","中","ima 回归通过；迁移手册（步骤+检查清单）合入 docs/developer","进行中"
"P0-10","Phase 0","UI","设置页-适配配置更新区块","通用设置新增：自动更新开关（默认开）、立即检查按钮、当前配置版本与上次检查时间展示、站点级「重置为内置配置」按钮（清除该站缓存 patch 即时回退，§6.5 止损）、隐私说明文案（纯静态 CDN GET 不含用户数据）；i18n 文案补齐","P0-05","M","2","高","开关关闭后不再发起请求；立即检查可见结果反馈（成功/失败/无更新）；重置按钮回退生效","进行中"
"P0-11","Phase 0","验证","热修链路端到端演练","构造 zai 测试 patch，先经 dev 构建覆盖 registry 源 URL 做 staging 演练，再发布 registry-dist：验证自动（≤24h）与手动两条生效路径、minAppVersion/baseConfigVersion 门槛、三条止损路径（revert patch / index disabled / 本地重置按钮+忽略标记）、坏包不覆盖 last-known-good；记录演练结论","P0-05,P0-06,P0-08,P0-10,P0-13","S","1","高","演练记录文档；生效/门槛拦截/三条止损/坏包回退全部符合预期","未开始"
"P0-12","Phase 1","文档","patch 贡献者文档与审核清单（自 Phase 0 后移）","docs/developer：schema 字段说明、如何提交 selector 热修 PR、site-pack-review-checklist.md 审核清单；随 P1-11 registry 开放一并交付","P0-06","S","1","中","文档合入；PR 模板引用该文档","已完成"
"P0-13","Phase 0","Core","内置 patch 启动门闩","initAdapterRegistry() 第一段（§6.2）：读缓存 patch→resolveSiteConfig 合并→applyMergedConfig 注入已配置化内置适配器实例；registryReady 门闩；main.ts/ui-entry.tsx/userscript entry 三入口 bootstrap 首行 await（各 bundle 独立初始化）；仅内置 patch，不含动态包加载（P1-06 第二段）","P0-04,P0-08","M","1.5","高","zai patch 在扩展与油猴两形态启动即生效且注入先于任何 getAdapter 消费；未配置化站点行为零变化","进行中"
