"task_id","phase","priority","title","source_section","change_type","primary_files","depends_on","scope","non_breaking_constraints","ui_safeguards","validation_commands","manual_regression","acceptance_criteria","pr_size_limit","rollback_notes"
"AUI-000","Phase 0 - Guardrails","P0","建立架构与 UI 优化执行检查清单","维护约定; 验证策略; 非目标","docs/process","docs/developer/architecture-ui-optimization-plan.md; docs/developer/architecture-ui-optimization-tasks.csv","","为后续每个优化 PR 固化执行模板：改动层级、平台影响、Shadow DOM/主题影响、验证命令、手动回归点。","只补文档和流程；不修改运行时代码；不改变构建脚本；不把多个实现任务合并到同一 PR。","所有 UI 任务必须声明目标界面、适用 DESIGN.md 章节、主题与 Shadow DOM 注入链路。","python -c ""import csv; rows=list(csv.DictReader(open('docs/developer/architecture-ui-optimization-tasks.csv', encoding='utf-8-sig'))); assert rows""","确认 CSV 可被表格工具打开；确认每个任务都有验证与回滚说明。","后续任务都能按 CSV 独立开 PR；每项任务具备不破坏功能与 UI 的检查项。","文档新增或小幅更新；不超过 1 个文档 PR。","如流程不适用，直接 revert 文档改动，不影响产品代码。"
"AUI-001","Phase 1 - Low risk fixes","P1","给 SettingsModal 补 dialog 语义","第一阶段/1. 补强设置弹窗可访问性","ui/accessibility","src/components/SettingsModal.tsx; src/styles/settings.css","AUI-000","为设置弹窗容器增加 role=""dialog""、aria-modal、aria-labelledby；补稳定标题 id；不改弹窗布局。","不得改变 onClose 触发条件；不得改变现有设置页路由、activePage、initialSubTab 和 locateRequest 行为；不得重命名现有 class。","视觉保持像素级接近；仅增加语义属性和必要焦点样式；浅色/深色主题下关闭、最大化、侧栏导航保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开设置弹窗；点击遮罩关闭；点击关闭按钮关闭；按 Escape 关闭；切换设置页面；最大化/还原；浅色和深色主题各检查一次。","屏幕阅读器能识别设置弹窗为 dialog；标题可被 aria-labelledby 关联；现有设置操作无行为变化。","只改 SettingsModal 语义与少量样式；不拆组件。","如发现 UI 或关闭行为异常，revert 本 PR 即可恢复原弹窗行为。"
"AUI-002","Phase 1 - Low risk fixes","P1","给 SettingsModal 增加焦点陷阱与关闭后焦点恢复","第一阶段/1. 补强设置弹窗可访问性","ui/accessibility","src/components/SettingsModal.tsx; src/hooks/useFocusTrap.ts(optional)","AUI-001","打开设置时聚焦标题或第一个可操作控件；Tab/Shift+Tab 限制在弹窗内；关闭后恢复到触发元素。","不得拦截输入框内正常 Tab 以外的编辑行为；不得影响全局快捷键恢复；不得引入第三方依赖。","焦点环使用现有 focus-visible 风格；不新增遮罩动画；焦点恢复失败时只 warn，不阻断关闭。","pnpm format:check; pnpm lint:check; pnpm typecheck","键盘打开设置；连续 Tab 到末尾回到开头；Shift+Tab 反向循环；在输入框内编辑；关闭后焦点回到设置按钮；验证全局搜索快捷键不被永久吞掉。","键盘用户可完整操作设置弹窗且焦点不逃逸；鼠标操作行为不变。","最多新增一个小 hook；不迁移设置页结构。","如焦点循环影响输入或快捷键，先禁用 focus trap hook 并保留 AUI-001 语义改动。"
"AUI-003","Phase 1 - Low risk fixes","P1","给主面板 tabs 补 tablist/tab/tabpanel 语义","第一阶段/2. 补强主面板 tab 语义与键盘切换","ui/accessibility","src/components/MainPanel.tsx; src/style.css","AUI-000","为 gh-panel-tabs 增加 role=""tablist""；为 tab button 增加 role=""tab""、aria-selected、aria-controls、id；内容区增加 role=""tabpanel""。","不得改变 activeTab 状态来源；不得改变 visibleTabs、tabOrder、拖拽排序和点击切换逻辑；不得重命名现有 class。","active 样式保持不变；focus-visible 样式沿用现有 gh-panel-tab-btn；不同面板宽度下不新增换行或溢出。","pnpm format:check; pnpm lint:check; pnpm typecheck","点击切换大纲/会话/提示词 tab；拖拽排序 tab；折叠/展开面板；左右停靠；浅色和深色主题检查 active 与 hover 状态。","当前 tab 可被 aria-selected 表达；tabpanel 与 tab 正确关联；现有点击和拖拽行为不变。","只补语义属性和必要 id；不重构 MainPanel。","如 tab 渲染或拖拽异常，revert 本 PR 可恢复原按钮结构。"
"AUI-004","Phase 1 - Low risk fixes","P1","给主面板 tabs 增加键盘导航","第一阶段/2. 补强主面板 tab 语义与键盘切换","ui/interaction","src/components/MainPanel.tsx","AUI-003","支持 ArrowLeft/ArrowRight、Home、End 在可见 tab 间切换；不改变鼠标点击和拖拽排序。","仅在 tab 按钮获得焦点时处理方向键；不得影响页面滚动、输入框、全局快捷键；不得改变 tabOrder 存储。","键盘切换后焦点留在对应 tab；不触发额外动画；折叠/边缘悬停状态下不强制展开面板。","pnpm format:check; pnpm lint:check; pnpm typecheck","用键盘切换 3 个 tab；自定义 tab 顺序后再切换；隐藏某个 tab 后再切换；确认输入框内方向键仍用于移动光标。","键盘可切换所有可见 tab；不会影响其它快捷键和拖拽排序。","只改 tab 键盘事件；不拆 MainPanel。","如快捷键冲突，移除 onKeyDown 即可回滚到点击切换。"
"AUI-005","Phase 1 - Low risk fixes","P1","将 WebDAVProvider 移到共享类型文件","第一阶段/3. 修正设置类型边界","refactor/types","src/types/settings.ts or src/types/webdav.ts; src/utils/storage.ts; src/core/webdav-sync.ts","AUI-000","移动 WebDAVProvider 等纯类型，消除 utils/storage 对 core/webdav-sync 的 type-only 依赖。","不得改变 WebDAV 运行时代码、备份格式、Settings 字段名、默认值；不得修改存储 key。","不改 WebDAV 设置 UI 文案、布局和表单行为。","pnpm format:check; pnpm lint:check; pnpm typecheck","打开 WebDAV 设置页；确认 provider 选择、保存、显示状态不变；不需要实际连接远端服务。","typecheck 通过；utils 层不再引用 core/webdav-sync；产物行为无变化。","纯类型移动；不做 settings 拆分。","如出现类型或导入问题，恢复原类型导出位置。"
"AUI-006","Phase 1 - Low risk fixes","P1","让 subscribeModuleUpdates 返回 unsubscribe","第一阶段/4. 为核心订阅和 URL 监听增加 cleanup","refactor/core-lifecycle","src/core/modules-init.ts; src/contents/main.ts; src/platform/userscript/entry.tsx","AUI-000","将设置订阅函数返回取消订阅函数；初始化入口保存 disposer；不改变任何模块 update 逻辑。","不得改变 settings 热更新顺序；不得移除现有模块更新分支；不得改变用户设置写入和跨上下文同步。","主题切换、布局设置、面板避让、模型锁定等设置变化后 UI 必须即时更新。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build","修改主题；修改面板宽度；切换 Zen/Clean Mode；切换模型锁定；确认无需刷新即可生效。","现有热更新行为不变；调用方可在卸载时取消订阅。","只改订阅返回值和调用方保存；不拆 modules-init。","如设置热更新异常，恢复 subscribeModuleUpdates 原返回 void 实现。"
"AUI-007","Phase 1 - Low risk fixes","P1","让 initUrlChangeObserver 返回 cleanup","第一阶段/4. 为核心订阅和 URL 监听增加 cleanup","refactor/core-lifecycle","src/core/modules-init.ts; src/contents/main.ts; src/platform/userscript/entry.tsx","AUI-006","URL observer 返回 cleanup，负责移除 popstate/hashchange、恢复 history patch、清理 interval 和 pending timeout。","不得改变 URL 变化事件派发；不得改变阅读历史恢复延迟；不得改变 tabManager、usageCounter、modelLocker 的 URL change 行为。","SPA 切换新对话后大纲、会话标题、使用量计数、阅读历史恢复保持原样。","pnpm format:check; pnpm lint:check; pnpm typecheck; pnpm build; pnpm build:userscript","在 ChatGPT/Gemini/Claude 任一站点切换会话；浏览器后退/前进；新对话；确认大纲刷新、标题更新、阅读历史恢复和计数面板正常。","功能行为不变；初始化入口具备完整 URL observer 清理路径。","只补 cleanup；不改 URL change 业务逻辑。","如 SPA 导航失效，恢复原 patch 和 interval 逻辑。"
"AUI-008","Phase 1 - Low risk fixes","P2","替换高风险 transition: all","第一阶段/5. 替换高风险 transition: all","ui/css","src/style.css; src/styles/*.css","AUI-000","逐个样式域将 transition: all 改为明确属性；每个 PR 只处理一个样式域。","不得改变 class 名、CSS 变量名、主题 fallback；不得引入新的强动画；不得改布局尺寸。","处理前后截图对比；浅色/深色主题、hover、active、focus-visible、disabled 状态保持一致。","pnpm format:check; pnpm lint:check; pnpm typecheck","检查面板按钮、tab、设置控件、快捷按钮、弹窗打开关闭；确认无闪烁、无状态丢失、无布局跳动。","目标样式域 transition: all 清零或显著减少；视觉行为基本一致。","每个 PR 只处理一个 CSS 文件或一个组件域；不混入视觉重设计。","如出现动效或布局回归，按样式域 revert。"
"AUI-009","Phase 1 - Low risk fixes","P2","补充 reduced motion 基础覆盖","UI 与交互专项建议/动效与 reduced motion","ui/css-accessibility","src/style.css; src/styles/settings.css; src/styles/queue-overlay.css","AUI-008","为强 transform、循环动画、自动滚动相关视觉效果补 prefers-reduced-motion: reduce 覆盖。","只在用户启用 reduced motion 时改变动画；默认动效不变；不得删除必要状态反馈。","reduced motion 下保留可见状态变化，例如 active、loading、disabled；不让用户失去操作反馈。","pnpm format:check; pnpm lint:check; pnpm typecheck","浏览器模拟 reduced motion；打开面板、设置、队列、快捷按钮；确认无强动画且状态仍清楚。","reduced motion 用户不再看到主要强动效；普通用户视觉不变。","只补 CSS media query；不改组件逻辑。","如 reduced motion 下状态不可见，恢复对应 media query 并重新设计状态反馈。"
